method,cluster_id,cluster_size,top_ingredients
HDBSCAN,0,16,"mushroom, dove breasts, fat free hollandaise mix, lowfat pepperoni, tomato sauce with herbs, fat free vegetable soup, vegit seasoning, boneless duck leg, bonito tuna, chicken broth soup"
HDBSCAN,1,24,"egg white, cream of tartar, diet soda, cherry extract, reducedfat oreo cookies, violets, reducedfat white cake mix, sponge cake fingers, red gelatin, glutenfree graham cracker crumbs"
HDBSCAN,2,16,"skinless chicken breast, shakenbake, chicken coating mix, barbecue potato chips, lowcarb milk, fatfree balsamic vinegar, frozen mozzarella garlic bread, simply potatoes steakhouse seasoned diced potatoes, alfredo noodles mix, campbells condensed creamy verde soup"
HDBSCAN,3,38,"mayonnaise, hardboiled egg, mustard, tuna, lettuce leaf, hamburger bun, crabmeat, pickle relish, dill pickle, pickle juice"
HDBSCAN,4,33,"worcestershire sauce, ketchup, prepared mustard, liquid smoke, yellow mustard, catsup, mustard powder, ground mustard, steak sauce, toasted oat cereal"
HDBSCAN,5,16,"baby spinach, romaine lettuce, goat cheese, green salad, arugula, sherry vinegar, mixed greens, redleaf lettuce, radicchio, butter lettuce"
HDBSCAN,6,90,"parmesan cheese, mozzarella cheese, pasta sauce, ricotta cheese, italian sausage, pepperoni, crushed tomatoes, roasted red pepper, lasagna noodles, spaghetti"
HDBSCAN,7,22,"honey, dried peppermint, yogurt starter, brewed hibiscus tea, geranium leaf, argan oil, bacon cheddar cheese, camomile tea bags, candied apricots, chocolate spread"
HDBSCAN,8,15,"vanilla extract, diet root beer, powdered fat free nondairy coffee creamer, reduced sugar devils food cake mix, fat free coffeemate, kudzu, melba sauce, coffeeflavor soymilk, confectioners coating, earth balance shortening"
HDBSCAN,9,19,"ground cinnamon, ground nutmeg, ground cloves, ground allspice, ground cardamom, pumpkin puree, canned pumpkin, instant tea, cooked pumpkin, instant tea powder"
HDBSCAN,10,18,"raisins, caramel corn, fruit snacks, gummy bears, pretzel rings, chocolate turtle chex mix, cinnamon goldfish graham snacks, ahmed brand vermicelli, charoli nuts, kremelta"
HDBSCAN,11,27,"dry yeast, warm water, bread flour, yeast, powdered milk, nonfat dry milk powder, rye flour, instant yeast, fast rise yeast, white bread flour"
HDBSCAN,12,16,"peanut butter captain crunch cereal, caramel squares, lucky charms cereal, candy coated chocolate eggs, candy pumpkins, danish fars meatballs, fruit puffs, hershey milk chocolate filled with caramel baking pieces, honey buns, jamon serrano"
HDBSCAN,13,24,"whole wheat flour, rolled oats, oats, unsweetened applesauce, splenda sugar substitute, oatmeal, flax seed, white flour, wheat germ, splenda granular"
HDBSCAN,14,21,"semisweet chocolate chips, chocolate chips, dark chocolate chips, butterscotch chips, rice krispies, salted peanuts, peanut butter chips, crisp rice cereal, crunchy peanut butter, toffee pieces"
HDBSCAN,15,20,"oil, tootsie roll, new kitty litter box, pooper scooper, jello chocolate instant pudding, planters sliced almonds, clear creme de menthe, funsize milky way bar, licorice whips, onion skins"
HDBSCAN,16,23,"yellow cake mix, cake mix, chocolate cake mix, devils food cake mix, brownie mix, chocolate frosting, vanilla frosting, lemon cake mix, fudge brownie mix, butterscotch cake mix"
HDBSCAN,17,32,"cumin seed, mustard seeds, garam masala, turmeric powder, red chili powder, coriander leaves, coriander powder, coriander seed, curry leaf, ginger paste"
HDBSCAN,18,53,"sesame oil, rice vinegar, fish sauce, hoisin sauce, rice wine vinegar, bean sprouts, oyster sauce, lemongrass, snow peas, toasted sesame seeds"
HDBSCAN,19,38,"water, koolaid, cherry powdered drink mix, cherry up, lychee syrup, fatfree cookies, gummy fish, ice wine, koshian, any desired flavoring"
HDBSCAN,20,29,"milk, banana syrup, basil seeds, gingerbreadflavored syrup, macadamia syrup, carbonated chocolate soda, chocolate flavored coffee, earl grey teabags, english toffee syrup, hazelnut powder"
HDBSCAN,21,62,"salsa, monterey jack cheese, flour tortilla, taco seasoning, jalapeno pepper, jalapeno, corn tortilla, tortilla chips, refried beans, kidney bean"
HDBSCAN,22,20,"cocoa powder, semisweet chocolate, unsweetened cocoa powder, graham cracker crumbs, bitter chocolate, dark chocolate, white chocolate, chocolate, cherry pie filling, oreo cookies"
HDBSCAN,23,184,"orange juice, lime juice, banana, orange zest, ice, ice cube, orange rind, lime zest, tequila, cranberry juice"
HDBSCAN,24,38,"whipped cream, kahlua, creme de cacao, baileys irish cream, espresso, coffee liqueur, chocolate shavings, irish cream, chocolate ice cream, creme de menthe"
