Cluster,Size,Distinctive_Terms,Top_5_Frequent,Avg_Freq,Min_Freq,Max_Freq
-1,8797,"cheese, chicken, sauce, mix, dried","salt, butter, sugar, onion, olive oil",137,0,86964
39,184,"liqueur, juice, yogurt, vodka, orange","orange juice, lime juice, banana, orange zest, ice",109,0,4490
15,90,"pasta, pizza, sauce, italian, tomato","parmesan cheese, mozzarella cheese, ricotta cheese, crushed tomatoes, spaghetti",454,0,15182
34,62,"tortilla, corn, beans, chile, taco","salsa, monterey jack cheese, jalapeno pepper, jalapeno, frozen corn",279,0,2764
30,53,"paste, sauce, noodles, chinese, sesame","sesame oil, rice vinegar, fish sauce, hoisin sauce, rice wine vinegar",282,0,3050
12,38,"tuna, pickle, relish, dill, salad","mayonnaise, mustard, crabmeat, tuna, lettuce leaf",344,0,8367
40,38,"cream, chocolate, liqueur, vodka, ice cream","whipped cream, kahlua, baileys irish cream, coffee liqueur, irish cream",76,0,1225
13,33,"ribs, pork, mustard, pork ribs, corn","worcestershire sauce, ketchup, prepared mustard, liquid smoke, catsup",494,0,7528
29,32,"dal, powder, seeds, gram, coriander","cumin seed, garam masala, mustard seeds, red chili powder, turmeric powder",173,1,834
31,29,"syrup, ice cream, ice, cream, soda","milk, banana syrup, basil seeds, bubblegum, caramel pudding mix",892,0,25839
22,27,"yeast, bread, dry, bread flour, gluten","warm water, bread flour, yeast, dry yeast, powdered milk",266,0,2057
5,24,"cake, white cake, reducedfat, white, powder","egg white, cream of tartar, diet soda, cherry extract, violets",115,0,1655
25,24,"flour, wheat, bran, bran oat, sugar substitute","whole wheat flour, rolled oats, splenda sugar substitute, oatmeal, oats",512,0,3075
32,23,"wine, soda, cherry, ice, tea","cherry powdered drink mix, gummy fish, ice wine, shochu, any desired flavoring",0,0,2
28,23,"cake mix, cake, mix, brownie mix, brownie","yellow cake mix, chocolate cake mix, brownie mix, cake mix, lemon cake mix",90,0,897
17,22,"dried, honey, tea, white chai, currant juice","honey, dried peppermint, yogurt starter, brewed hibiscus tea, geranium leaf",438,1,9620
26,21,"chips, chocolate chips, butter, chocolate, candy","chocolate chips, butterscotch chips, rice krispies, salted peanuts, crunchy peanut butter",205,0,2238
38,20,"chocolate, crumbs, powder, cookie, cocoa powder","cocoa powder, unsweetened cocoa powder, semisweet chocolate, graham cracker crumbs, dark chocolate",376,1,1595
27,20,"mix, cake mix, coconut, cake, green","oil, new kitty litter box, clear creme de menthe, licorice whips, onion skins",498,0,9951
20,19,"ground, pumpkin, instant tea, instant, tea","ground cinnamon, ground nutmeg, ground cloves, ground allspice, ground cardamom",806,0,6954
21,18,"snacks, cereal, guavaberry, ann, cinnamon goldfish","raisins, fruit snacks, caramel corn, guavaberry, gummy bears",246,0,4414
24,16,"caramel, milk chocolate, candy, chocolate, cereal","peanut butter captain crunch cereal, caramel squares, lucky charms cereal, candy coated chocolate eggs, candy pumpkins",1,0,5
0,16,"mushroom, soup, sauce, free, tomato","mushroom, dove breasts, fat free hollandaise mix, fat free vegetable soup, tomato sauce with herbs",125,0,1989
14,16,"lettuce, arugula, baby, greens, lettuce butter","romaine lettuce, baby spinach, goat cheese, arugula, mixed greens",227,0,977
8,16,"chicken, parmesan, mozzarella, potatoes, and","skinless chicken breast, barbecue potato chips, chicken coating mix, frozen mozzarella garlic bread, simply potatoes steakhouse seasoned diced potatoes",4,0,44
18,15,"fat free, free, fat, coffeeflavor, beer earth","vanilla extract, diet root beer, reduced sugar devils food cake mix, kudzu, melba sauce",722,0,10827
16,14,"beef, chuck, roast, chuck roast, beef bouillon","beef stock, chuck roast, beef bouillon cube, beef bouillon, round steak",166,4,986
36,13,"lemon, basil rub, oat biscuits, fillets strawberry, rub tilapia","lemon, whole salmon, seville oranges, advocaat, raspberry schnapps",218,0,2806
