cluster_id,size,avg_frequency,coherence_score,interpretation,suggested_category,top_5_ingredients
20,19,791.8947368421053,152.73684210526315,HIGHLY COHERENT - ingredients frequently used together,mixed,"ground cinnamon, ground nutmeg, ground cloves, ground allspice, ground cardamom"
15,90,538.4222222222222,117.05555555555556,HIGHLY COHERENT - ingredients frequently used together,mixed,"parmesan cheese, mozzarella cheese, ricotta cheese, pasta sauce, crushed tomatoes"
34,62,462.0483870967742,107.12903225806451,HIGHLY COHERENT - ingredients frequently used together,mexican,"salsa, monterey jack cheese, jalapeno pepper, jalapeno, flour tortilla"
25,24,582.875,103.95833333333333,HIGHLY COHERENT - ingredients frequently used together,baking,"whole wheat flour, rolled oats, oats, oatmeal, splenda sugar substitute"
22,27,339.44444444444446,99.48148148148148,HIGHLY COHERENT - ingredients frequently used together,baking,"dry yeast, warm water, bread flour, yeast, powdered milk"
23,11,1415.090909090909,98.81818181818181,HIGHLY COHERENT - ingredients frequently used together,mixed,"carrot, parsnip, turnip, pearl barley, barley"
13,33,515.3030303030303,85.48484848484848,HIGHLY COHERENT - ingredients frequently used together,mixed,"worcestershire sauce, ketchup, prepared mustard, yellow mustard, liquid smoke"
30,53,318.37735849056605,82.77358490566037,HIGHLY COHERENT - ingredients frequently used together,asian,"sesame oil, rice vinegar, fish sauce, rice wine vinegar, hoisin sauce"
12,38,476.6578947368421,77.13157894736842,HIGHLY COHERENT - ingredients frequently used together,seafood,"mayonnaise, mustard, hardboiled egg, tuna, lettuce leaf"
38,20,444.65,51.45,HIGHLY COHERENT - ingredients frequently used together,dessert,"cocoa powder, unsweetened cocoa powder, semisweet chocolate, graham cracker crumbs, bitter chocolate"
29,32,222.4375,45.90625,HIGHLY COHERENT - ingredients frequently used together,mixed,"cumin seed, mustard seeds, garam masala, coriander leaves, coriander seed"
26,21,413.8095238095238,42.857142857142854,HIGHLY COHERENT - ingredients frequently used together,dessert,"semisweet chocolate chips, chocolate chips, dark chocolate chips, butterscotch chips, rice krispies"
3,13,420.9230769230769,35.92307692307692,HIGHLY COHERENT - ingredients frequently used together,mixed,"zucchini, yellow squash, summer squash, crookneck yellow squash, fruit jell"
39,184,148.72282608695653,28.293478260869566,HIGHLY COHERENT - ingredients frequently used together,mixed,"lime juice, orange juice, banana, orange zest, ice cube"
16,14,296.42857142857144,26.071428571428573,HIGHLY COHERENT - ingredients frequently used together,meat,"beef stock, beef stew, beef bouillon cube, round steak, chuck roast"
14,16,347.375,18.9375,HIGHLY COHERENT - ingredients frequently used together,mixed,"baby spinach, romaine lettuce, goat cheese, green salad, arugula"
5,24,248.58333333333334,18.583333333333332,HIGHLY COHERENT - ingredients frequently used together,baking,"egg white, cream of tartar, diet soda, reducedfat oreo cookies, cherry extract"
40,38,162.71052631578948,13.31578947368421,HIGHLY COHERENT - ingredients frequently used together,dessert,"whipped cream, kahlua, baileys irish cream, espresso, coffee liqueur"
10,13,239.84615384615384,9.692307692307692,MODERATELY COHERENT - some culinary relationship,baking,"self rising flour, selfrising flour, vanilla essence, bisquick, selfraising flour"
9,11,633.7272727272727,7.7272727272727275,MODERATELY COHERENT - some culinary relationship,mixed,"bacon, toothpick, coating mix, horseradish cheddar cheese, huntscae tomato sauce with basilc garlic and oreganoc undrained"
28,23,128.2608695652174,6.217391304347826,MODERATELY COHERENT - some culinary relationship,baking,"yellow cake mix, cake mix, chocolate cake mix, devils food cake mix, brownie mix"
8,16,546.0,2.3125,WEAK COHERENCE - may be algorithmic artifact,mixed,"skinless chicken breast, shakenbake, barbecue potato chips, chicken coating mix, lowcarb milk"
7,12,982.0,2.25,WEAK COHERENCE - may be algorithmic artifact,mixed,"tomatoes, lowfat ranch dressing, ovenroasted turkey breast, mustardmayonnaise blend, light multigrain english muffin"
19,12,510.0833333333333,2.25,WEAK COHERENCE - may be algorithmic artifact,mixed,"heavy cream, instant espresso, framboise eaudevie, gummy ring, readytoserve custard"
36,13,291.6923076923077,1.5384615384615385,WEAK COHERENCE - may be algorithmic artifact,mixed,"lemon, whole salmon, seville oranges, advocaat, raspberry schnapps"
