Cluster,Size,Distinctive_Terms,Top_5_Frequent,Avg_Freq,Min_Freq,Max_Freq,Category_Label,Interpretability_Score
39,184,"liqueur, juice, yogurt, vodka, orange","orange juice, lime juice, banana, orange zest, ice",109,0,4490,Cocktails & Fruit Beverages,0.5119565217391304
15,90,"pasta, pizza, sauce, italian, tomato","parmesan cheese, mozzarella cheese, ricotta cheese, crushed tomatoes, spaghetti",454,0,15182,Italian Cuisine (Pasta & Pizza),0.46454882650124707
32,23,"wine, soda, cherry, ice, tea","cherry powdered drink mix, gummy fish, ice wine, shochu, any desired flavoring",0,0,2,Novelty Beverages & Wine,0.365
34,62,"tortilla, corn, beans, chile, taco","salsa, monterey jack cheese, jalapeno pepper, jalapeno, frozen corn",279,0,2764,Mexican Cuisine (Tex-Mex),0.3559921156373193
2,13,"turkey, torito adobo, turkey slices, lightlife turkey, chunky turkey","blended scotch whisky, chunky turkey pot pie soup, dried kelp granules, el torito adobo al pastor sauce, granary bread",0,0,1,Ultra-Rare/Data Quality Issues,0.315
30,53,"paste, sauce, noodles, chinese, sesame","sesame oil, rice vinegar, fish sauce, hoisin sauce, rice wine vinegar",282,0,3050,Asian Cuisine (Chinese & Thai),0.30745424542454247
37,11,"cups, cream, shortcake, yogurtcovered pretzels, topping fruitflavored","blueberry ice cream, chocolate liqueur cups, dole pineapple, organic peanut butter, passion fruit and strawberry salad dressing",0,0,1,Miscellaneous Dessert Items,0.305
29,32,"dal, powder, seeds, gram, coriander","cumin seed, garam masala, mustard seeds, red chili powder, turmeric powder",173,1,834,Indian Cuisine (Spices & Dal),0.24639523336643496
24,16,"caramel, milk chocolate, candy, chocolate, cereal","peanut butter captain crunch cereal, caramel squares, lucky charms cereal, candy coated chocolate eggs, candy pumpkins",1,0,5,Candy & Cereal Treats,0.22285714285714286
40,38,"cream, chocolate, liqueur, vodka, ice cream","whipped cream, kahlua, baileys irish cream, coffee liqueur, irish cream",76,0,1225,Creamy Cocktails & Liqueurs,0.21956989247311828
12,38,"tuna, pickle, relish, dill, salad","mayonnaise, mustard, crabmeat, tuna, lettuce leaf",344,0,8367,Seafood Salads & Sandwiches,0.20980027548209368
13,33,"ribs, pork, mustard, pork ribs, corn","worcestershire sauce, ketchup, prepared mustard, liquid smoke, catsup",494,0,7528,BBQ & Ribs (Pork Dishes),0.19584880967219245
38,20,"chocolate, crumbs, powder, cookie, cocoa powder","cocoa powder, unsweetened cocoa powder, semisweet chocolate, graham cracker crumbs, dark chocolate",376,1,1595,Chocolate Baking (Cocoa),0.195636732623034
22,27,"yeast, bread, dry, bread flour, gluten","warm water, bread flour, yeast, dry yeast, powdered milk",266,0,2057,Bread Making (Yeast Baking),0.19244406196213426
25,24,"flour, wheat, bran, bran oat, sugar substitute","whole wheat flour, rolled oats, splenda sugar substitute, oatmeal, oats",512,0,3075,Healthy Baking (Whole Grains),0.19148829431438127
10,13,"flour, bisquick, baking mix, mix, baking","vanilla essence, bisquick, bisquick baking mix, self rising flour, baking mix",135,0,478,Baking Mixes (Bisquick),0.17574918566775244
14,16,"lettuce, arugula, baby, greens, lettuce butter","romaine lettuce, baby spinach, goat cheese, arugula, mixed greens",227,0,977,Fresh Salad Greens,0.17460580912863072
31,29,"syrup, ice cream, ice, cream, soda","milk, banana syrup, basil seeds, bubblegum, caramel pudding mix",892,0,25839,Ice Cream & Sweet Syrups,0.1617028280712255
