method,cluster_id,cluster_size,top_ingredients
K-Means,0,55,"fresh lemon, canola oil, beefflavored vegetarian seasoning, globe eggplant, buckwheat honey, dandelion flowers, frenchfried potatoes, smen, fatfree whole wheat pita bread, steelhead fillet"
K-Means,1,65,"dried thyme, dried rosemary, low sodium beef broth, vegetable broth, reducedsodium chicken broth, dried sage, dried marjoram, sweet pepper, dry tarragon, cooked brown rice"
K-Means,2,102,"pineapple juice, ice, vodka, orange, club soda, triple sec, mint sprig, grape juice, lemonlime flavored soda, coconut rum"
K-Means,3,190,"cream of mushroom soup, sharp cheddar cheese, cream of chicken soup, garlic salt, swiss cheese, halfandhalf, sliced mushrooms, ham, bread, broccoli"
K-Means,4,89,"fresh basil, pine nuts, red peppers, cherry tomatoes, plum tomato, eggplant, baby spinach, kalamata olive, sundried tomato, roasted red pepper"
K-Means,5,120,"egg white, cream of tartar, ground almonds, almond paste, thickened cream, whole unblanched almond, rose petal, dry curd cottage cheese, red currants, orangec juice and rind of"
K-Means,6,101,"dried cranberries, rolled oats, almonds, apple, oats, dried apricot, sliced almonds, slivered almonds, sunflower seeds, quickcooking oats"
K-Means,7,73,"scallion, scotch bonnet pepper, major grey chutney, ovenroasted deli chicken, pignolis, cooked chicken breast half, pigs tail, cornstarch paste, lowfat bacon, lowfat silken tofu"
K-Means,8,33,"brioche bread, jumbo egg, blackberry jam, imitation vanilla, orange oil, bleached all purpose flour, pecan meal, cherries in juice, granular fructose, ganache"
K-Means,9,117,"celery, frozen peas, peas, chicken bouillon cube, lentils, pearl barley, turnip, dry lentils, chicken bouillon granule, barley"
K-Means,10,135,"onion, meat broth, red wine, bell pepper, beef stock, frying oil, beef stew, tomato juice, caraway seed, tomato puree"
K-Means,11,71,"unsalted butter, table salt, ice water, golden brown sugar, extra large egg, fine salt, lightbrown sugar, parchment paper, muscovado sugar, cherry preserves"
K-Means,12,85,"salt, dry yeast, warm water, bread flour, yeast, cornmeal, powdered milk, instant yeast, nonfat dry milk powder, rye flour"
K-Means,13,156,"brown sugar, pecans, apples, sweet potato, pumpkin pie, pecan halves, pie crust, bourbon, pie shell, rhubarb"
K-Means,14,93,"salsa, black beans, chicken breast, green chili, monterey jack cheese, flour tortilla, cheese, taco seasoning, lettuce, black olives"
K-Means,15,60,"heavy cream, puff pastry shells, pork rind, chocolate candy melts, white port, angelica, heather honey, licor, atkins baking mix, framboise eaudevie"
K-Means,16,142,"ground cumin, ground coriander, curry powder, limec juice of, plain yogurt, cayenne, chickpeas, chopped tomato, ground turmeric, cauliflower"
