method,cluster_id,size,avg_frequency,median_frequency,recipe_coherence,density_coherence,coverage_coherence,quality,interpretation,primary_category,category_match_pct,secondary_category,recipes_with_cluster,max_co_occurrence,top_5_ingredients,top_10_ingredients
Agglomerative,1,431,583.5684454756381,10.0,130.09280742459396,3.2857856251114677,0.7623632540861873,HIGH,HIGHLY COHERENT - strong culinary relationship,baking,23.201856148491878,,56070,13,"salt, egg, flour, baking powder, baking soda","salt, egg, flour, baking powder, baking soda, walnuts, buttermilk, whole wheat flour, shortening, dry yeast"
Agglomerative,2,577,315.9740034662045,17.0,79.63951473136915,2.9069463788300838,0.5038035318596332,MEDIUM,MODERATELY COHERENT - meaningful grouping,protein,24.090121317157713,,45952,14,"onion, garlic clove, carrot, celery, chicken broth","onion, garlic clove, carrot, celery, chicken broth, bay leaf, celery rib, rice, green beans, meat broth"
Agglomerative,12,281,290.3274021352313,5.0,65.16014234875445,2.7089022392135447,0.9640221491863148,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.94661921708185,,18310,10,"brown sugar, cinnamon, ground cinnamon, nutmeg, ground ginger","brown sugar, cinnamon, ground cinnamon, nutmeg, ground ginger, ground nutmeg, ground cloves, apples, sweet potato, molasses"
Agglomerative,11,306,269.16339869281046,23.0,56.79738562091503,2.388204833141542,0.7804590957978895,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.032679738562091,,17380,8,"olive oil, virgin olive oil, limec juice of, flat leaf parsley, plain yogurt","olive oil, virgin olive oil, limec juice of, flat leaf parsley, plain yogurt, sweet onion, cherry tomatoes, white onion, capers, plum tomato"
Agglomerative,16,1414,193.04596888260255,2.0,54.517680339462515,2.8717569530925697,0.20309455113808839,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.85148514851485,,77088,13,"pepper, salt pepper, garlic, black pepper, sour cream","pepper, salt pepper, garlic, black pepper, sour cream, green onion, paprika, fresh parsley, green pepper, fresh ground black pepper"
Agglomerative,33,243,233.25925925925927,23.0,51.325102880658434,2.390234124438743,0.9836354421558613,MEDIUM,MODERATELY COHERENT - meaningful grouping,italian,25.102880658436217,vegetables,12472,7,"parmesan cheese, fresh basil, spinach, pine nuts, dry breadcrumbs","parmesan cheese, fresh basil, spinach, pine nuts, dry breadcrumbs, baby spinach, chopped tomato, crushed tomatoes, spaghetti, pasta"
Agglomerative,0,403,224.42679900744417,17.0,50.682382133995034,2.6178702570379437,0.6495955972798868,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,17.617866004962778,,20425,14,"garlic powder, worcestershire sauce, ketchup, onion powder, white vinegar","garlic powder, worcestershire sauce, ketchup, onion powder, white vinegar, vinegar, dry mustard, garlic salt, season salt, bell peppers"
Agglomerative,8,203,369.3645320197044,4.0,49.69950738916256,2.2359004856774707,1.101428810678557,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,13.30049261083744,,10089,6,"sugar, lemon juice, cornstarch, cold water, blueberries","sugar, lemon juice, cornstarch, cold water, blueberries, peach, pie crust, pie shell, rhubarb, blackberries"
Agglomerative,20,339,306.5132743362832,27.0,49.67846607669617,2.363755121429844,0.6972728971769451,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.04424778761062,,16841,9,"butter, mayonnaise, sharp cheddar cheese, halfandhalf, swiss cheese","butter, mayonnaise, sharp cheddar cheese, halfandhalf, swiss cheese, bread, ham, hardboiled egg, white bread, french bread"
Agglomerative,22,132,236.86363636363637,26.0,47.90909090909091,2.773561037318153,2.101182604028904,MEDIUM,MODERATELY COHERENT - meaningful grouping,mexican,28.030303030303028,dairy,6324,8,"avocado, salsa, cheese, monterey jack cheese, green chili","avocado, salsa, cheese, monterey jack cheese, green chili, black olives, flour tortilla, lettuce, taco seasoning, tortilla chips"
Agglomerative,13,273,179.75824175824175,11.0,43.53846153846154,2.4455662123506645,0.8958117993958478,MEDIUM,MODERATELY COHERENT - meaningful grouping,dessert,30.76923076923077,,11886,8,"vanilla, white sugar, semisweet chocolate chips, chocolate chips, nuts","vanilla, white sugar, semisweet chocolate chips, chocolate chips, nuts, peanut butter, corn syrup, cocoa, cocoa powder, unsweetened cocoa powder"
