method,cluster_id,size,avg_frequency,median_frequency,recipe_coherence,density_coherence,coverage_coherence,quality,interpretation,primary_category,category_match_pct,secondary_category,recipes_with_cluster,max_co_occurrence,top_5_ingredients,top_10_ingredients
DBSCAN,9,20,428.85,165.0,129.1,2.2966692486444615,11.483346243222307,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,55.00000000000001,grains,2582,6,"dry yeast, warm water, bread flour, yeast, powdered milk","dry yeast, warm water, bread flour, yeast, powdered milk, instant yeast, fast rise yeast, rye flour, yeast bread dough, white bread flour"
DBSCAN,17,10,1154.8,152.0,122.0,2.2368852459016395,22.368852459016395,MEDIUM,MODERATELY COHERENT - meaningful grouping,herbs,30.0,,1220,5,"mayonnaise, hardboiled egg, dill pickle, pickle relish, relish","mayonnaise, hardboiled egg, dill pickle, pickle relish, relish, pickle juice, sweet pickle, dill pickle relish, sweet gherkin, dill relish"
DBSCAN,13,30,515.6333333333333,212.5,121.6,2.4684758771929824,8.228252923976607,MEDIUM,MODERATELY COHERENT - meaningful grouping,mexican,40.0,dairy,3648,6,"salsa, monterey jack cheese, flour tortilla, taco seasoning, corn tortilla","salsa, monterey jack cheese, flour tortilla, taco seasoning, corn tortilla, tortilla chips, diced green chilis, refried beans, enchilada sauce, tortilla"
DBSCAN,11,27,443.81481481481484,118.0,96.55555555555556,2.4526275412351364,9.083805708278282,MEDIUM,MODERATELY COHERENT - meaningful grouping,condiments,33.33333333333333,italian,2607,5,"mozzarella cheese, ricotta cheese, pasta sauce, pepperoni, lasagna noodles","mozzarella cheese, ricotta cheese, pasta sauce, pepperoni, lasagna noodles, pizza sauce, marinara sauce, pizza dough, ziti pasta, lasagna noodle"
DBSCAN,6,46,380.2173913043478,126.5,92.0,2.6543005671077506,5.770218624147284,MEDIUM,MODERATELY COHERENT - meaningful grouping,asian,32.608695652173914,condiments,4232,9,"sesame oil, sesame seeds, peanut oil, rice vinegar, rice wine vinegar","sesame oil, sesame seeds, peanut oil, rice vinegar, rice wine vinegar, hoisin sauce, bean sprouts, oyster sauce, snow peas, toasted sesame seeds"
DBSCAN,14,10,257.1,117.0,52.9,2.395085066162571,23.950850661625708,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,20.0,mexican,529,6,"fish sauce, lemongrass, kaffir lime leaf, palm sugar, thai curry paste","fish sauce, lemongrass, kaffir lime leaf, palm sugar, thai curry paste, thai basil, thai fish sauce, thai chile, galangal, fresh lime leaves"
DBSCAN,5,36,202.61111111111111,39.5,40.19444444444444,3.125086385625432,8.6807955156262,HIGH,HIGHLY COHERENT - strong culinary relationship,indian,27.77777777777778,baking,1447,12,"cumin seed, mustard seeds, garam masala, coriander leaves, coriander seed","cumin seed, mustard seeds, garam masala, coriander leaves, coriander seed, red chili powder, turmeric powder, dried chili, coriander powder, ghee"
DBSCAN,0,206,154.25728155339806,2.0,30.966019417475728,2.4328264618278728,1.1809837193339188,MEDIUM,MODERATELY COHERENT - meaningful grouping,fruits,29.126213592233007,beverages,6379,11,"lime juice, orange juice, banana, orange zest, pineapple juice","lime juice, orange juice, banana, orange zest, pineapple juice, ice cube, ice, strawberry, orange rind, vodka"
DBSCAN,1,45,140.15555555555557,2.0,12.488888888888889,2.2224199288256226,4.938710952945828,MEDIUM,MODERATELY COHERENT - meaningful grouping,dessert,31.11111111111111,,562,5,"whipped cream, kahlua, baileys irish cream, espresso, coffee liqueur","whipped cream, kahlua, baileys irish cream, espresso, coffee liqueur, creme de cacao, chocolate ice cream, irish cream, chocolate shavings, chocolate curls"
DBSCAN,4,13,726.8461538461538,1.0,1.0,2.0,15.384615384615385,LOW,WEAK COHERENCE - potential artifact,mixed,15.384615384615385,dessert,13,2,"honey, brewed hibiscus tea, geranium leaf, argan oil, candied apricots","honey, brewed hibiscus tea, geranium leaf, argan oil, candied apricots, chocolate spread, currant juice, dried angelica root, dried rose hips, fiber one caramel delight cereal"
