method,cluster_id,size,avg_frequency,median_frequency,recipe_coherence,density_coherence,coverage_coherence,quality,interpretation,primary_category,category_match_pct,secondary_category,recipes_with_cluster,max_co_occurrence,top_5_ingredients,top_10_ingredients
HDBSCAN,9,19,791.8947368421053,9.0,152.73684210526315,2.394555478980014,12.60292357357902,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.789473684210526,,2902,6,"ground cinnamon, ground nutmeg, ground cloves, ground allspice, ground cardamom","ground cinnamon, ground nutmeg, ground cloves, ground allspice, ground cardamom, pumpkin puree, canned pumpkin, cooked pumpkin, instant tea, instant tea powder"
HDBSCAN,6,90,538.4222222222222,200.0,117.05555555555556,2.6034171808258186,2.892685756473132,MEDIUM,MODERATELY COHERENT - meaningful grouping,italian,33.33333333333333,vegetables,10535,10,"parmesan cheese, mozzarella cheese, ricotta cheese, pasta sauce, crushed tomatoes","parmesan cheese, mozzarella cheese, ricotta cheese, pasta sauce, crushed tomatoes, spaghetti, roma tomato, pasta, italian sausage, roasted red pepper"
HDBSCAN,21,62,462.0483870967742,212.0,107.12903225806451,2.547726588376995,4.109236432866121,MEDIUM,MODERATELY COHERENT - meaningful grouping,mexican,35.483870967741936,,6642,7,"salsa, monterey jack cheese, jalapeno pepper, jalapeno, flour tortilla","salsa, monterey jack cheese, jalapeno pepper, jalapeno, flour tortilla, taco seasoning, kidney bean, corn tortilla, tortilla chips, frozen corn"
HDBSCAN,13,24,582.875,314.0,103.95833333333333,2.3559118236472947,9.816299265197062,MEDIUM,MODERATELY COHERENT - meaningful grouping,grains,50.0,baking,2495,6,"whole wheat flour, rolled oats, oats, oatmeal, splenda sugar substitute","whole wheat flour, rolled oats, oats, oatmeal, splenda sugar substitute, unsweetened applesauce, white flour, splenda granular, flax seed, wheat germ"
HDBSCAN,11,27,339.44444444444446,134.0,99.48148148148148,2.3406552494415487,8.66909351645018,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,59.25925925925925,grains,2686,6,"dry yeast, warm water, bread flour, yeast, powdered milk","dry yeast, warm water, bread flour, yeast, powdered milk, nonfat dry milk powder, instant yeast, fast rise yeast, rye flour, yeast bread dough"
HDBSCAN,4,33,515.3030303030303,89.0,85.48484848484848,2.2764976958525347,6.898477866219801,MEDIUM,MODERATELY COHERENT - meaningful grouping,condiments,21.21212121212121,grains,2821,6,"worcestershire sauce, ketchup, prepared mustard, yellow mustard, liquid smoke","worcestershire sauce, ketchup, prepared mustard, yellow mustard, liquid smoke, catsup, mustard powder, ground mustard, steak sauce, countrystyle pork ribs"
HDBSCAN,18,53,318.37735849056605,145.0,82.77358490566037,2.6099840437656714,4.9244981957842855,MEDIUM,MODERATELY COHERENT - meaningful grouping,asian,28.30188679245283,condiments,4387,9,"sesame oil, rice vinegar, fish sauce, rice wine vinegar, hoisin sauce","sesame oil, rice vinegar, fish sauce, rice wine vinegar, hoisin sauce, bean sprouts, oyster sauce, snow peas, lemongrass, toasted sesame seeds"
HDBSCAN,3,38,476.6578947368421,71.0,77.13157894736842,2.3125213237802797,6.085582431000736,MEDIUM,MODERATELY COHERENT - meaningful grouping,seafood,23.684210526315788,,2931,7,"mayonnaise, mustard, hardboiled egg, tuna, lettuce leaf","mayonnaise, mustard, hardboiled egg, tuna, lettuce leaf, hamburger bun, crabmeat, dill pickle, pickle relish, imitation crabmeat"
HDBSCAN,22,20,444.65,295.0,51.45,2.1243926141885328,10.621963070942664,MEDIUM,MODERATELY COHERENT - meaningful grouping,dessert,55.00000000000001,baking,1029,4,"cocoa powder, unsweetened cocoa powder, semisweet chocolate, graham cracker crumbs, bitter chocolate","cocoa powder, unsweetened cocoa powder, semisweet chocolate, graham cracker crumbs, bitter chocolate, dark chocolate, white chocolate, cherry pie filling, chocolate, oreo cookies"
HDBSCAN,17,32,222.4375,68.0,45.90625,3.0381211708645335,9.494128658951666,HIGH,HIGHLY COHERENT - strong culinary relationship,indian,25.0,baking,1469,10,"cumin seed, mustard seeds, garam masala, coriander leaves, coriander seed","cumin seed, mustard seeds, garam masala, coriander leaves, coriander seed, red chili powder, turmeric powder, coriander powder, ghee, cardamom pod"
