method,cluster_id,size,avg_frequency,median_frequency,recipe_coherence,density_coherence,coverage_coherence,quality,interpretation,primary_category,category_match_pct,secondary_category,recipes_with_cluster,max_co_occurrence,top_5_ingredients,top_10_ingredients
K-Means,33,170,636.5470588235294,59.0,155.91764705882352,2.374368067607334,1.3966870985925492,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,13.529411764705882,,26506,9,"garlic clove, olive oil, white wine, fresh thyme, green beans","garlic clove, olive oil, white wine, fresh thyme, green beans, cream, fresh rosemary, leek, sweet onion, red potatoes"
K-Means,50,113,427.7699115044248,16.0,102.52212389380531,2.548467846353043,2.255281279958445,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,31.858407079646017,grains,11585,9,"baking powder, baking soda, buttermilk, whole wheat flour, unbleached flour","baking powder, baking soda, buttermilk, whole wheat flour, unbleached flour, poppy seed, yellow cornmeal, unsweetened applesauce, white flour, flax seed"
K-Means,10,135,531.3481481481482,66.0,85.2074074074074,2.308180474658785,1.7097633145620628,MEDIUM,MODERATELY COHERENT - meaningful grouping,protein,34.074074074074076,,11503,6,"onion, meat broth, red wine, bell pepper, frying oil","onion, meat broth, red wine, bell pepper, frying oil, beef stock, tomato juice, caraway seed, tomato puree, beef stew"
K-Means,93,91,728.6153846153846,2.0,75.57142857142857,2.067471281081867,2.2719464627273265,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,14.285714285714285,,6877,5,"flour, pepper, vegetable oil, panko breadcrumbs, cube steak","flour, pepper, vegetable oil, panko breadcrumbs, cube steak, frying chicken, selfrising cornmeal, beef liver, fryer, pan dripping"
K-Means,31,126,616.7301587301587,3.0,72.44444444444444,2.0499561787905347,1.626949348246456,MEDIUM,MODERATELY COHERENT - meaningful grouping,mixed,15.079365079365079,,9128,5,"sugar, water, frozen lemonade concentrate, rose water, tea bag","sugar, water, frozen lemonade concentrate, rose water, tea bag, semolina, pectin, red cinnamon candies, lemon concentrate, frozen lemonade"
K-Means,12,85,1117.7058823529412,8.0,70.8,2.65752741774676,3.1265028444079532,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,41.17647058823529,grains,6018,7,"salt, dry yeast, warm water, cornmeal, bread flour","salt, dry yeast, warm water, cornmeal, bread flour, yeast, powdered milk, nonfat dry milk powder, lard, instant yeast"
K-Means,18,74,833.8108108108108,32.5,67.77027027027027,2.2582253240279164,3.0516558432809684,MEDIUM,MODERATELY COHERENT - meaningful grouping,baking,21.62162162162162,,5015,7,"egg, evaporated milk, icing sugar, caster sugar, graham cracker crumbs","egg, evaporated milk, icing sugar, caster sugar, graham cracker crumbs, self rising flour, selfrising flour, vanilla essence, graham cracker, selfraising flour"
K-Means,14,93,348.8494623655914,10.0,64.11827956989248,2.607915478785846,2.804210192242845,MEDIUM,MODERATELY COHERENT - meaningful grouping,dairy,27.956989247311824,mexican,5963,9,"chicken breast, salsa, cheese, black beans, monterey jack cheese","chicken breast, salsa, cheese, black beans, monterey jack cheese, green chili, black olives, flour tortilla, corn, lettuce"
K-Means,44,135,344.8666666666667,53.0,63.67407407407408,2.369590507212657,1.755252227564931,MEDIUM,MODERATELY COHERENT - meaningful grouping,dessert,32.592592592592595,baking,8596,9,"allpurpose flour, confectioners sugar, corn syrup, almond extract, sweetened condensed milk","allpurpose flour, confectioners sugar, corn syrup, almond extract, sweetened condensed milk, cocoa powder, flaked coconut, unsweetened cocoa powder, semisweet chocolate, creamy peanut butter"
K-Means,4,89,285.3707865168539,23.0,48.640449438202246,2.2674982674982673,2.5477508623576037,MEDIUM,MODERATELY COHERENT - meaningful grouping,italian,40.44943820224719,vegetables,4329,6,"fresh basil, red peppers, pine nuts, cherry tomatoes, plum tomato","fresh basil, red peppers, pine nuts, cherry tomatoes, plum tomato, baby spinach, eggplant, roma tomato, roasted red pepper, kalamata olive"
