Method,Variant,N_Clusters,Noise_Points,Noise_Pct,Silhouette,Calinski_Harabasz,Davies_Bouldin,Time_seconds,Can_Find_Arbitrary_Shapes,Requires_K,Handles_Noise,Hierarchical
DBSCAN,eps=0.5,18,9296,94.24168694241686,0.42448305285587723,67.12897223528212,0.9407925604442977,0.18448209762573242,True,False,True,False
HDBSCAN,mcs=15,25,8970,90.93673965936739,0.340551047292407,57.643788683017966,1.200961410141585,6.9110352993011475,True,False,True,True
HDBSCAN,mcs=10,41,8797,89.18288726682887,0.3334017899427836,48.87219226775404,1.1613024169443367,7.258612871170044,True,False,True,True
DBSCAN,eps=0.6,26,8708,88.28061638280616,0.23137828631664467,48.206664475879656,1.266547815706444,0.1902787685394287,True,False,True,False
DBSCAN,eps=0.65,30,8179,82.9176804541768,0.13925215264368893,32.71297748932104,1.488267294895364,0.19100213050842285,True,False,True,False
K-Means,k=100,100,0,0.0,0.05981506669450767,53.899627404346525,2.7519384237582214,0.07243013381958008,False,True,False,False
K-Means,k=50,50,0,0.0,0.05702742184348797,76.22288920191079,3.225308840076621,0.05088186264038086,False,True,False,False
K-Means,k=40,40,0,0.0,0.05595419375594247,84.81609117090545,3.4286849159568376,0.0877068042755127,False,True,False,False
K-Means,k=30,30,0,0.0,0.05478843027276684,98.35060212180882,3.597533240024832,0.055409908294677734,False,True,False,False
K-Means,k=20,20,0,0.0,0.04697777376394061,112.70027493953933,3.991574151682684,0.04583311080932617,False,True,False,False
HDBSCAN,mcs=20,2,6768,68.61313868613139,0.019336681352564243,17.114854249017508,1.8554894208754906,7.505271911621094,True,False,True,True
Agglomerative,ward-k=20,20,0,0.0,0.017547201300188137,90.45269868111824,4.235070069275554,2.2114148139953613,False,True,False,True
Agglomerative,ward-k=30,30,0,0.0,0.017172856393424207,76.78272599776288,3.8644706955559527,2.155208110809326,False,True,False,True
Agglomerative,ward-k=40,40,0,0.0,0.01692816861239398,67.99114561130854,3.6461810104626364,2.435045003890991,False,True,False,True
DBSCAN,eps=0.7,29,7421,75.23317112733172,0.005845373322979056,19.577148549906724,1.6909608610315865,0.19797921180725098,True,False,True,False
Agglomerative,complete-k=40,40,0,0.0,-0.00046740091085978113,33.268761324811976,4.993365964417202,2.090444803237915,False,True,False,True
Agglomerative,complete-k=30,30,0,0.0,-0.0024487491774127907,32.293319576758066,5.663930525198688,2.118515968322754,False,True,False,True
Agglomerative,complete-k=20,20,0,0.0,-0.0038623784898729687,33.62605727003747,6.815241349254931,2.109950065612793,False,True,False,True
Agglomerative,average-k=40,40,0,0.0,-0.007357815585085704,37.24142356456276,3.331218248165294,2.254063129425049,False,True,False,True
Agglomerative,average-k=20,20,0,0.0,-0.007787114482144672,35.910316481295204,3.822883425258206,2.251585006713867,False,True,False,True
Agglomerative,average-k=30,30,0,0.0,-0.012245366770779174,35.042716703514095,3.4722167463032414,2.3306050300598145,False,True,False,True
Agglomerative,single-k=20,20,0,0.0,-0.07945979669040307,1.0118466754899085,0.9954758039375544,2.1336138248443604,False,True,False,True
Agglomerative,single-k=30,30,0,0.0,-0.1048461442196294,1.0097995904628356,0.9959457263920335,2.115952253341675,False,True,False,True
Agglomerative,single-k=40,40,0,0.0,-0.10768497668504874,1.0207859344367975,1.0359190606496633,2.137458086013794,False,True,False,True
